analysis_group	model	fpr	tpr	auc
Stool Active	rf	0.4545454545454546	0.8134391534391535	0.759
Stool Active	rf	0.4646464646464647	0.8134391534391535	0.759
Stool Active	rf	0.4747474747474748	0.8255026455026455	0.759
Stool Active	rf	0.4848484848484848	0.8255026455026455	0.759
Stool Active	rf	0.494949494949495	0.8255026455026455	0.759
Stool Active	rf	0.5050505050505051	0.8407407407407407	0.759
Stool Active	rf	0.5151515151515152	0.8407407407407407	0.759
Stool Active	rf	0.5252525252525253	0.8407407407407407	0.759
Stool Active	rf	0.5353535353535354	0.8515343915343915	0.759
Stool Active	rf	0.5454545454545455	0.8515343915343915	0.759
Stool Active	rf	0.5555555555555556	0.8547089947089948	0.759
Stool Active	rf	0.5656565656565657	0.8547089947089948	0.759
Stool Active	rf	0.5757575757575758	0.8591534391534392	0.759
Stool Active	rf	0.5858585858585859	0.8623280423280424	0.759
Stool Active	rf	0.595959595959596	0.8623280423280424	0.759
Stool Active	rf	0.6060606060606061	0.8690909090909092	0.759
Stool Active	rf	0.6161616161616162	0.8703094436427771	0.759
Stool Active	rf	0.6262626262626263	0.871527978194645	0.759
Stool Active	rf	0.6363636363636365	0.8745935545935548	0.759
Stool Active	rf	0.6464646464646465	0.8752669552669555	0.759
Stool Active	rf	0.6565656565656566	0.875940355940356	0.759
Stool Active	rf	0.6666666666666667	0.8788359788359791	0.759
Stool Active	rf	0.6767676767676768	0.8788359788359791	0.759
Stool Active	rf	0.686868686868687	0.8791566458233127	0.759
Stool Active	rf	0.696969696969697	0.8803751803751805	0.759
Stool Active	rf	0.7070707070707072	0.8838159371492705	0.759
Stool Active	rf	0.7171717171717172	0.8842328042328044	0.759
Stool Active	rf	0.7272727272727273	0.8842328042328044	0.759
Stool Active	rf	0.7373737373737375	0.8842328042328044	0.759
Stool Active	rf	0.7474747474747475	0.8842328042328044	0.759
Stool Active	rf	0.7575757575757577	0.8842328042328044	0.759
Stool Active	rf	0.7676767676767677	0.9133493666827	0.759
Stool Active	rf	0.7777777777777778	0.914567901234568	0.759
Stool Active	rf	0.787878787878788	0.9157864357864358	0.759
Stool Active	rf	0.797979797979798	0.9223280423280424	0.759
Stool Active	rf	0.8080808080808082	0.9297354497354496	0.759
Stool Active	rf	0.8181818181818182	0.9329100529100528	0.759
Stool Active	rf	0.8282828282828284	0.9329100529100528	0.759
Stool Active	rf	0.8383838383838385	0.9329100529100528	0.759
Stool Active	rf	0.8484848484848485	0.9360846560846562	0.759
Stool Active	rf	0.8585858585858587	0.9360846560846562	0.759
Stool Active	rf	0.8686868686868687	0.9414814814814816	0.759
Stool Active	rf	0.8787878787878789	0.9414814814814816	0.759
Stool Active	rf	0.888888888888889	0.9414814814814816	0.759
Stool Active	rf	0.8989898989898991	0.9414814814814816	0.759
Stool Active	rf	0.9090909090909092	0.9511111111111112	0.759
Stool Active	rf	0.9191919191919192	0.9511111111111112	0.759
Stool Active	rf	0.9292929292929294	0.9574603174603176	0.759
Stool Active	rf	0.9393939393939394	0.9596825396825398	0.759
Stool Active	rf	0.9494949494949496	0.962857142857143	0.759
Stool Active	rf	0.9595959595959596	0.962857142857143	0.759
Stool Active	rf	0.9696969696969696	0.9650793650793652	0.759
Stool Active	rf	0.97979797979798	0.9721661054994388	0.759
Stool Active	rf	0.98989898989899	0.9733846400513068	0.759
Stool Active	rf	1.0	1.0	0.759
Stool Treated	xgboost	0.0	0.2863054666852135	0.773
Stool Treated	xgboost	0.0101010101010101	0.2863054666852135	0.773
Stool Treated	xgboost	0.0202020202020202	0.2863054666852135	0.773
Stool Treated	xgboost	0.0303030303030303	0.2863054666852135	0.773
Stool Treated	xgboost	0.0404040404040404	0.3113054666852134	0.773
Stool Treated	xgboost	0.0505050505050505	0.3305362359159827	0.773
Stool Treated	xgboost	0.0606060606060606	0.3305362359159827	0.773
Stool Treated	xgboost	0.0707070707070707	0.3621818055362359	0.773
Stool Treated	xgboost	0.0808080808080808	0.3717971901516205	0.773
Stool Treated	xgboost	0.0909090909090909	0.3717971901516205	0.773
Stool Treated	xgboost	0.101010101010101	0.3814125747670051	0.773
Stool Treated	xgboost	0.1111111111111111	0.3814125747670051	0.773
Stool Treated	xgboost	0.1212121212121212	0.3814125747670051	0.773
Stool Treated	xgboost	0.1313131313131313	0.3814125747670051	0.773
