analysis_group	model	fpr	tpr	auc
Stool Prospective	mlp	0.5050505050505051	0.6933333333333331	0.599
Stool Prospective	mlp	0.5151515151515152	0.6933333333333331	0.599
Stool Prospective	mlp	0.5252525252525253	0.6933333333333331	0.599
Stool Prospective	mlp	0.5353535353535354	0.6933333333333331	0.599
Stool Prospective	mlp	0.5454545454545455	0.6933333333333331	0.599
Stool Prospective	mlp	0.5555555555555556	0.6933333333333331	0.599
Stool Prospective	mlp	0.5656565656565657	0.6933333333333331	0.599
Stool Prospective	mlp	0.5757575757575758	0.6933333333333331	0.599
Stool Prospective	mlp	0.5858585858585859	0.6933333333333331	0.599
Stool Prospective	mlp	0.595959595959596	0.6933333333333331	0.599
Stool Prospective	mlp	0.6060606060606061	0.6933333333333331	0.599
Stool Prospective	mlp	0.6161616161616162	0.6933333333333331	0.599
Stool Prospective	mlp	0.6262626262626263	0.6933333333333331	0.599
Stool Prospective	mlp	0.6363636363636365	0.6933333333333331	0.599
Stool Prospective	mlp	0.6464646464646465	0.6933333333333331	0.599
Stool Prospective	mlp	0.6565656565656566	0.6933333333333331	0.599
Stool Prospective	mlp	0.6666666666666667	0.8	0.599
Stool Prospective	mlp	0.6767676767676768	0.8	0.599
Stool Prospective	mlp	0.686868686868687	0.8	0.599
Stool Prospective	mlp	0.696969696969697	0.8	0.599
Stool Prospective	mlp	0.7070707070707072	0.8	0.599
Stool Prospective	mlp	0.7171717171717172	0.8	0.599
Stool Prospective	mlp	0.7272727272727273	0.8	0.599
Stool Prospective	mlp	0.7373737373737375	0.8	0.599
Stool Prospective	mlp	0.7474747474747475	0.8	0.599
Stool Prospective	mlp	0.7575757575757577	0.8	0.599
Stool Prospective	mlp	0.7676767676767677	0.8	0.599
Stool Prospective	mlp	0.7777777777777778	0.8	0.599
Stool Prospective	mlp	0.787878787878788	0.8	0.599
Stool Prospective	mlp	0.797979797979798	0.8	0.599
Stool Prospective	mlp	0.8080808080808082	0.8	0.599
Stool Prospective	mlp	0.8181818181818182	0.8	0.599
Stool Prospective	mlp	0.8282828282828284	0.8	0.599
Stool Prospective	mlp	0.8383838383838385	0.8800000000000003	0.599
Stool Prospective	mlp	0.8484848484848485	0.8800000000000003	0.599
Stool Prospective	mlp	0.8585858585858587	0.8800000000000003	0.599
Stool Prospective	mlp	0.8686868686868687	0.8800000000000003	0.599
Stool Prospective	mlp	0.8787878787878789	0.8800000000000003	0.599
Stool Prospective	mlp	0.888888888888889	0.8800000000000003	0.599
Stool Prospective	mlp	0.8989898989898991	0.8800000000000003	0.599
Stool Prospective	mlp	0.9090909090909092	0.8800000000000003	0.599
Stool Prospective	mlp	0.9191919191919192	0.8800000000000003	0.599
Stool Prospective	mlp	0.9292929292929294	0.8800000000000003	0.599
Stool Prospective	mlp	0.9393939393939394	0.8800000000000003	0.599
Stool Prospective	mlp	0.9494949494949496	0.8800000000000003	0.599
Stool Prospective	mlp	0.9595959595959596	0.8800000000000003	0.599
Stool Prospective	mlp	0.9696969696969696	0.8800000000000003	0.599
Stool Prospective	mlp	0.97979797979798	0.8800000000000003	0.599
Stool Prospective	mlp	0.98989898989899	0.8800000000000003	0.599
Stool Prospective	mlp	1.0	1.0	0.599
Stool Active	rf	0.0	0.4233333333333332	0.792
Stool Active	rf	0.0101010101010101	0.4233333333333332	0.792
Stool Active	rf	0.0202020202020202	0.4233333333333332	0.792
Stool Active	rf	0.0303030303030303	0.4233333333333332	0.792
Stool Active	rf	0.0404040404040404	0.4233333333333332	0.792
Stool Active	rf	0.0505050505050505	0.4233333333333332	0.792
Stool Active	rf	0.0606060606060606	0.4233333333333332	0.792
Stool Active	rf	0.0707070707070707	0.4233333333333332	0.792
Stool Active	rf	0.0808080808080808	0.4233333333333332	0.792
Stool Active	rf	0.0909090909090909	0.4233333333333332	0.792
Stool Active	rf	0.101010101010101	0.5533333333333332	0.792
Stool Active	rf	0.1111111111111111	0.5899999999999999	0.792
Stool Active	rf	0.1212121212121212	0.5899999999999999	0.792
Stool Active	rf	0.1313131313131313	0.5899999999999999	0.792
Stool Active	rf	0.1414141414141414	0.5899999999999999	0.792
