Replicate	Fold_1	Fold_2	Fold_3	Fold_4	Fold_5	Fold_6	Fold_7	Fold_8	Fold_9	Fold_10	Mean	Model
Average	0.6914285714285714	0.5828571428571429	0.7542857142857142	0.7771428571428572	0.6861111111111111	0.6722222222222222	0.7305555555555557	0.5972222222222222	0.72	0.6533333333333333	0.6865158730158731	xgboost
1	0.8571428571428572	0.7142857142857143	0.7714285714285715	0.7428571428571429	0.9166666666666667	0.7222222222222222	0.6111111111111112	0.7777777777777778	0.7666666666666666	0.7	0.758015873015873	svm
2	0.6000000000000001	0.8571428571428572	0.7714285714285715	0.7142857142857143	0.888888888888889	0.8611111111111112	0.5555555555555556	0.7500000000000001	0.6	0.6	0.7198412698412697	svm
3	0.7428571428571429	0.7428571428571429	0.6571428571428571	0.7714285714285715	0.75	0.8055555555555556	0.8055555555555556	0.8055555555555556	0.7666666666666666	0.8333333333333334	0.7680952380952382	svm
4	0.6857142857142857	0.6857142857142857	0.6857142857142858	0.942857142857143	0.75	0.8055555555555556	0.5833333333333334	0.5	0.8666666666666667	0.7666666666666666	0.7272222222222223	svm
5	0.6857142857142857	0.8	0.6	0.4285714285714286	0.9166666666666667	1.0	0.6944444444444444	0.6944444444444445	0.6	0.6333333333333333	0.7053174603174602	svm
Average	0.7142857142857144	0.76	0.6971428571428573	0.7200000000000001	0.8444444444444444	0.8388888888888889	0.65	0.7055555555555556	0.72	0.7066666666666667	0.7356984126984126	svm
1	0.7714285714285715	0.8571428571428571	0.7428571428571428	0.7714285714285714	0.6388888888888891	0.9444444444444445	0.638888888888889	0.7222222222222222	0.6	0.8	0.7487301587301587	lr
2	0.5142857142857142	0.6857142857142857	0.8857142857142857	0.7428571428571429	0.7500000000000001	0.9166666666666667	0.9166666666666667	0.5833333333333334	0.6333333333333333	0.6333333333333333	0.726190476190476	lr
3	0.6857142857142857	0.7428571428571429	0.7999999999999999	0.5714285714285714	0.6666666666666667	0.9444444444444445	0.8611111111111112	0.8055555555555556	0.7666666666666666	0.7	0.7544444444444445	lr
4	0.9428571428571428	0.6285714285714286	0.8	0.8857142857142857	0.9444444444444444	0.5555555555555556	0.6388888888888888	0.8611111111111112	0.5666666666666667	0.49999999999999994	0.7323809523809524	lr
5	0.8857142857142857	0.8285714285714285	0.5428571428571428	0.7714285714285714	0.7777777777777778	0.638888888888889	0.9166666666666667	0.9444444444444444	0.6333333333333333	0.6333333333333333	0.7573015873015873	lr
Average	0.76	0.7485714285714286	0.7542857142857142	0.7485714285714284	0.7555555555555558	0.8000000000000002	0.7944444444444445	0.7833333333333334	0.6399999999999999	0.6533333333333333	0.7438095238095238	lr
1	0.5428571428571428	0.7714285714285715	0.6571428571428571	0.8857142857142857	0.5	0.5555555555555556	0.19444444444444445	0.5833333333333333	0.5666666666666667	0.7	0.5957142857142856	rf
2	0.6	0.8571428571428571	0.8857142857142857	0.5714285714285714	0.5694444444444444	0.5555555555555556	0.5555555555555556	0.6388888888888888	0.7333333333333333	0.5833333333333334	0.6550396825396826	rf
3	0.8	0.6571428571428571	0.8857142857142857	0.7142857142857143	0.6666666666666667	0.33333333333333337	0.2222222222222222	0.5833333333333333	0.6	0.6666666666666667	0.6129365079365079	rf
4	0.34285714285714286	0.6571428571428571	0.6285714285714286	0.48571428571428565	0.8333333333333334	0.7777777777777779	0.5555555555555557	0.8611111111111112	0.36666666666666664	0.7	0.6208730158730159	rf
5	0.6285714285714286	0.6571428571428571	0.8	0.5857142857142857	0.5416666666666667	0.5833333333333334	0.5277777777777778	0.6388888888888888	0.44999999999999996	0.8333333333333333	0.624642857142857	rf
Average	0.5828571428571429	0.72	0.7714285714285714	0.6485714285714286	0.6222222222222223	0.5611111111111111	0.41111111111111115	0.6611111111111111	0.5433333333333333	0.6966666666666667	0.6218412698412698	rf
