Replicate	Fold_1	Fold_2	Fold_3	Fold_4	Fold_5	Fold_6	Fold_7	Fold_8	Fold_9	Fold_10	Mean	Model
1	0.6666666666666666	0.8333333333333334	0.6	0.85	0.6666666666666666	0.8166666666666667	0.6333333333333333	0.7	0.8518518518518519	0.9074074074074073	0.7525925925925926	svm
2	0.5333333333333333	0.5166666666666667	0.8333333333333333	0.6	0.8999999999999999	0.6666666666666667	0.6166666666666667	0.8333333333333333	0.851851851851852	0.6481481481481483	0.7	svm
3	0.7	0.4166666666666667	0.8833333333333333	0.6833333333333333	0.9333333333333333	0.6	0.6666666666666666	0.95	0.6296296296296297	0.5185185185185186	0.6981481481481483	svm
4	0.7333333333333333	0.7	0.5833333333333334	0.7	0.7666666666666666	0.75	0.8999999999999999	0.8499999999999999	0.6481481481481481	0.4444444444444444	0.7075925925925926	svm
5	0.5333333333333333	0.6166666666666667	0.7666666666666666	0.55	0.7833333333333333	0.8166666666666667	1.0	0.8	0.7037037037037037	0.7222222222222223	0.7292592592592594	svm
Average	0.6333333333333333	0.6166666666666667	0.7333333333333333	0.6766666666666665	0.8099999999999999	0.7300000000000001	0.7633333333333333	0.8266666666666665	0.7370370370370372	0.6481481481481483	0.7175185185185186	svm
1	0.6666666666666666	0.9333333333333333	0.6166666666666667	0.55	0.5	0.6333333333333333	0.9	0.5333333333333333	0.7407407407407407	0.8518518518518519	0.6925925925925925	lr
2	0.6666666666666667	0.8666666666666667	0.5833333333333334	0.6666666666666666	0.55	0.8166666666666667	0.5666666666666667	0.7333333333333334	0.9444444444444444	0.462962962962963	0.6857407407407408	lr
3	0.75	0.7666666666666666	0.5166666666666666	0.7	0.6833333333333333	0.5166666666666666	0.7	0.7666666666666666	0.7222222222222223	0.7407407407407407	0.6862962962962963	lr
4	0.7999999999999999	0.6666666666666666	0.48333333333333334	0.55	0.7	0.7666666666666666	0.7166666666666667	0.75	0.888888888888889	0.8148148148148148	0.7137037037037037	lr
5	0.8166666666666667	0.65	0.48333333333333334	0.6833333333333333	0.75	0.8333333333333334	0.65	0.6666666666666667	0.888888888888889	0.7592592592592593	0.7181481481481483	lr
Average	0.74	0.7766666666666666	0.5366666666666667	0.6300000000000001	0.6366666666666667	0.7133333333333334	0.7066666666666668	0.6900000000000001	0.837037037037037	0.725925925925926	0.6992962962962963	lr
1	0.85	0.6666666666666667	0.7833333333333333	0.9	0.7833333333333333	0.8666666666666667	0.75	0.8833333333333333	0.7777777777777778	0.9444444444444445	0.8205555555555556	rf
2	0.75	0.8416666666666666	0.9666666666666667	0.7833333333333333	0.8666666666666666	0.7833333333333333	0.775	0.9833333333333334	0.6111111111111112	0.8703703703703705	0.8231481481481481	rf
3	0.9	0.75	0.7833333333333333	0.8083333333333333	0.8666666666666667	0.8166666666666667	0.75	0.65	0.7962962962962963	0.9259259259259259	0.8047222222222221	rf
4	0.875	0.7583333333333333	0.5499999999999999	0.8083333333333335	0.675	1.0	0.7666666666666666	0.8166666666666667	0.7962962962962963	0.9629629629629629	0.8009259259259259	rf
5	0.65	0.8	0.7083333333333333	0.825	0.8583333333333334	0.8833333333333333	0.8	0.9833333333333334	0.8703703703703705	0.8333333333333334	0.8212037037037037	rf
Average	0.805	0.7633333333333333	0.7583333333333332	0.825	0.8099999999999999	0.8699999999999999	0.7683333333333333	0.8633333333333333	0.7703703703703704	0.9074074074074074	0.814111111111111	rf
